DATA_TYPE FOCAL_MECHANISM_SOLUTIONS
ISC Bulletin
-----EVENT----|------------------------------ORIGIN------------------------------|FM AUTHOR|----MOMENT---|-----------MOMENT TENSOR COMPONENTS---------|---------------NODAL PLANES--------------|-----------------------PRINCIPAL AXES-------------------------|
 EVENT_ID,TYPE,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,CENTROID,AUTHOR   ,EX,MO   ,MW  ,EX,MRR   ,MTT   ,MPP   ,MRT   ,MTP   ,MPR   ,STRIKE,DIP  ,RAKE   ,STRIKE,DIP  ,RAKE   ,EX,T_VAL ,T_PL ,T_AZM ,P_VAL ,P_PL ,P_AZM ,N_VAL ,N_PL ,N_AZM 
  1726359,fe  ,GCMT     ,2000-01-17,12:20:09.30,  6.8700, -71.9400, 30.7,TRUE    ,GCMT     ,17,2.690, 5.5,17, 2.034,-0.118,-1.910, 0.037, 0.557, 1.741,154.00,26.00,  71.00,355.00,65.00,  99.00,17, 2.710,68.00,283.00,-2.680,20.00, 78.00,-0.040, 8.00,171.00
  1733732,de  ,GCMT     ,2000-03-19,12:23:43.30,  5.6900, -77.6100, 15.0,TRUE    ,GCMT     ,16,8.850, 5.2,16,-4.988, 1.505, 3.480,-3.174,-1.072, 6.946,156.00,75.00, -90.00,337.00,15.00, -89.00,16, 8.330,30.00,246.00,-9.370,60.00, 65.00, 1.040, 0.00,156.00
  1737728,de  ,GCMT     ,2000-07-12,22:12:24.40,  6.5400, -77.8000, 15.0,TRUE    ,GCMT     ,16,8.620, 5.2,16,-7.636, 1.774, 5.860, 0.477,-3.079, 4.118,167.00,59.00, -75.00,319.00,34.00,-114.00,16, 8.270,13.00,246.00,-8.960,72.00,113.00, 0.680,13.00,339.00
  1740128,de  ,NEIC     ,2000-09-20,08:37:16.30, -1.8850, -80.4610, 33.0,        ,NEIC     ,17,1.500, 5.4,17, 0.660, 0.120,-0.780, 0.360, 0.560, 1.140,  8.00,76.00, 117.00,123.00,31.00,  29.00,17, 1.540,52.00,309.00,-1.480,26.00, 76.00,-0.060,26.00,180.00
  1740128,de  ,GCMT     ,2000-09-20,08:37:19.10, -2.0000, -80.5500, 57.9,TRUE    ,GCMT     ,17,2.110, 5.5,17, 0.883,-1.321, 0.430, 0.054, 1.572, 0.851, 81.00,59.00,  23.00,339.00,70.00, 147.00,17, 1.930,37.00,296.00,-2.290, 7.00, 32.00, 0.360,52.00,131.00
  1912814,fe  ,CASC     ,2000-10-31,11:33:13.80,  9.9430, -79.6720, 20.1,        ,CASC     ,  ,     , 4.2,  ,      ,      ,      ,      ,      ,      ,234.00,52.80,  64.60,      ,     ,       ,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1839808,de  ,NEIC     ,2000-11-08,06:59:58.86,  7.0420, -77.8290, 17.0,        ,NEIC     ,  ,     , 6.5,  ,      ,      ,      ,      ,      ,      ,175.00,80.00,  90.00,355.00,10.00,  90.00,  ,      ,55.00, 85.00,      ,25.00,285.00,      , 0.00,  0.00
  1839808,de  ,NEIC     ,2000-11-08,06:59:58.86,  7.0420, -77.8290, 17.0,        ,NEIC     ,18,7.400, 6.5,18, 2.270,-0.860,-1.410, 1.940, 1.180,-6.750,163.00,81.00,  96.00,305.00,11.00,  53.00,18, 7.510,53.00, 80.00,-7.270,36.00,247.00,-0.240, 6.00,342.00
  1839808,de  ,NEIC     ,2000-11-08,06:59:58.86,  7.0420, -77.8290, 17.0,        ,PPT      ,18,9.000, 6.5,  ,      ,      ,      ,      ,      ,      ,163.00,81.00,  96.00,305.00,11.00,  53.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  1839808,de  ,GCMT     ,2000-11-08,07:00:15.70,  7.1200, -77.9900, 17.0,TRUE    ,GCMT     ,18,7.060, 6.5,18, 3.619, 0.673,-4.290, 0.106, 1.819,-5.588,177.00,72.00, 103.00,321.00,22.00,  56.00,18, 6.610,61.00,105.00,-7.520,26.00,257.00, 0.920,12.00,353.00
  1743064,ke  ,GCMT     ,2000-12-16,09:12:25.60,  7.1700, -78.0200, 27.0,TRUE    ,GCMT     ,17,1.370, 5.4,17, 0.606, 0.251,-0.850,-0.115, 0.487,-1.034,184.00,74.00, 114.00,307.00,29.00,  35.00,17, 1.250,55.00,124.00,-1.480,25.00,256.00, 0.220,23.00,357.00
  2057026,fe  ,GCMT     ,2001-09-08,22:45:10.20,  8.5800, -74.8300, 34.1,TRUE    ,GCMT     ,16,5.530, 5.1,16, 0.622, 4.975,-5.590,-0.863, 0.909,-1.034,220.00,88.00, 165.00,310.00,75.00,   2.00,16, 5.250,12.00,174.00,-5.820, 9.00,266.00, 0.570,75.00, 31.00
  2347453,fe  ,GCMT     ,2001-11-19,21:01:27.20,  6.7400, -72.9000,153.7,TRUE    ,GCMT     ,16,10.050, 5.3,16, 0.211, 8.695,-8.900,-1.560,-3.249,-3.438, 56.00,82.00,-162.00,324.00,73.00,  -9.00,16, 9.380, 6.00,189.00,-10.720,18.00,281.00, 1.340,71.00, 81.00
  3004609,fe  ,GCMT     ,2002-04-26,01:36:30.70,  6.5900, -73.9000, 15.0,TRUE    ,GCMT     ,16,6.010, 5.1,16, 4.148, 1.101,-5.240,-2.766,-0.095, 2.361,207.00,38.00, 136.00,334.00,65.00,  61.00,16, 6.170,59.00,201.00,-5.860,15.00, 85.00,-0.310,26.00,348.00
  3180819,ke  ,GCMT     ,2002-06-07,00:05:46.70,  8.5100, -77.6900, 61.7,TRUE    ,GCMT     ,17,3.100, 5.6,17, 0.557,-0.233,-0.320,-1.278, 2.821, 0.282,181.00,65.00, 177.00,272.00,88.00,  25.00,17, 2.790,19.00,139.00,-3.410,16.00, 44.00, 0.620,65.00,277.00
  3180819,ke  ,CASC     ,2002-06-07,00:05:46.90,  8.8800, -77.5010, 52.2,        ,CASC     ,  ,     , 5.4,  ,      ,      ,      ,      ,      ,      ,181.00,65.00, 177.00,      ,     ,       ,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  3208234,fe  ,NEIC     ,2002-07-02,16:24:29.14,  5.0170, -77.4050, 10.0,        ,NEIC     ,17,1.400, 5.4,17, 0.240, 0.160,-0.400,-0.870, 1.040, 0.040,185.00,51.00, 170.00,281.00,82.00,  40.00,17, 1.400,33.00,151.00,-1.420,21.00, 46.00, 0.020,50.00,290.00
  3208234,fe  ,GCMT     ,2002-07-02,16:24:34.20,  5.3200, -77.0700, 15.0,TRUE    ,GCMT     ,16,7.050, 5.2,16,-2.880, 1.522, 1.350,-5.680, 0.758,-3.333, 59.00,80.00, -88.00,226.00,11.00,-102.00,16, 6.690,35.00,147.00,-7.420,55.00,331.00, 0.730, 2.00,238.00
  3792565,se  ,RSNC     ,2002-07-24,19:38:08.70,  4.6890, -74.7280,  0.0,        ,RSNC     ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,314.60,14.10, -44.60,      ,     ,       ,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
301940391,ke  ,RSNC     ,2002-07-24,20:35:32.20,  4.6850, -74.7340,  0.0,        ,RSNC     ,  ,     ,    ,  ,      ,      ,      ,      ,      ,      ,340.60,51.10,  42.60,      ,     ,       ,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  3249155,fe  ,NEIC     ,2002-08-08,13:39:58.26,  4.9800, -77.8190, 43.3,        ,NEIC     ,17,8.100, 5.9,17,-0.090, 5.250,-5.160,-1.240, 5.960,-1.050,200.00,85.00, 170.00,291.00,80.00,   5.00,17, 8.250,11.00,155.00,-7.890, 3.00,246.00,-0.360,79.00,353.00
  3249155,fe  ,GCMT     ,2002-08-08,13:39:58.90,  5.1700, -77.6200, 22.3,TRUE    ,GCMT     ,17,4.580, 5.7,17,-2.908, 1.181, 1.720, 2.221, 3.123,-0.261, 12.00,45.00,-140.00,251.00,63.00, -52.00,17, 4.830,10.00,315.00,-4.340,55.00,210.00,-0.490,33.00, 52.00
  6139534,fe  ,GCMT     ,2002-11-23,23:56:45.80,  3.7300, -74.0500, 67.1,TRUE    ,GCMT     ,16,5.230, 5.1,16, 1.747, 1.792,-3.530,-3.559, 2.374, 0.250,195.00,48.00, 159.00,299.00,75.00,  44.00,16, 5.590,42.00,167.00,-4.870,17.00, 61.00,-0.720,44.00,314.00
  6533149,de  ,GCMT     ,2003-01-08,14:29:09.70,  6.1000, -77.4000, 25.1,TRUE    ,GCMT     ,17,3.786, 5.7,17, 0.365,-3.310, 2.950, 0.040,-1.860, 0.994, 31.00,82.00,  14.00,299.00,76.00, 172.00,17, 3.729,16.00,255.00,-3.843, 4.00,164.00, 0.119,74.00, 60.00
  7067653,fe  ,GCMT     ,2003-08-22,05:29:16.70,  3.0700, -77.7300, 31.4,TRUE    ,GCMT     ,16,3.559, 5.0,16,-3.310, 2.770, 0.530, 0.215, 1.680,-0.614, 50.00,47.00,-106.00,253.00,45.00, -73.00,16, 3.672, 1.00,152.00,-3.446,78.00,246.00,-0.230,12.00, 62.00
  7176449,fe  ,NEIC     ,2003-11-05,00:58:51.11,  4.9730, -77.7700, 33.0,        ,NEIC     ,  ,     , 6.0,  ,      ,      ,      ,      ,      ,      , 65.00,25.00, -90.00,245.00,65.00, -90.00,  ,      ,20.00,335.00,      ,70.00,155.00,      , 0.00,  0.00
  7176449,fe  ,NEIC     ,2003-11-05,00:58:51.11,  4.9730, -77.7700, 33.0,        ,NEIC     ,18,1.200, 6.0,18, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,  3.00,44.00,-142.00,244.00,64.00, -53.00,18, 1.200,12.00,308.00,-1.280,54.00,201.00, 0.080,33.00, 45.00
  7176449,fe  ,GCMT     ,2003-11-05,00:58:55.20,  5.1400, -77.8100, 27.6,TRUE    ,GCMT     ,18,0.933, 5.9,18,-0.642, 0.240, 0.400, 0.589, 0.462,-0.038, 15.00,38.00,-137.00,248.00,65.00, -60.00,18, 0.884,15.00,317.00,-0.982,59.00,201.00, 0.099,27.00, 55.00
  7253292,ke  ,GCMT     ,2004-02-20,11:16:01.90, 10.9200, -73.9000, 54.3,TRUE    ,GCMT     ,16,1.914, 4.8,16, 1.330,-2.150, 0.810,-0.177, 0.087,-0.527,120.00,51.00, 133.00,244.00,56.00,  50.00,16, 1.668,58.00, 96.00,-2.160, 3.00,  1.00, 0.484,32.00,270.00
  7255826,ke  ,FUNV     ,2004-02-26,17:17:44.60, 10.9680, -72.3240,  6.7,        ,FUNV     ,  ,     , 3.8,  ,      ,      ,      ,      ,      ,      , 33.40,52.20,  50.80,      ,     ,       ,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  7390303,fe  ,GCMT     ,2004-08-18,07:06:53.30,  2.3700, -76.5400, 22.9,TRUE    ,GCMT     ,16,5.013, 5.1,16,-0.334,-3.170, 3.500, 0.359, 3.520, 1.310, 69.00,79.00,   8.00,338.00,82.00, 169.00,16, 5.333,13.00,293.00,-4.692, 3.00, 24.00,-0.645,76.00,124.00
  7414593,ke  ,GCMT     ,2004-10-03,08:30:32.50,  6.8300, -73.0400,172.4,TRUE    ,GCMT     ,16,2.347, 4.8,16,-0.197,-1.820, 2.020,-1.090, 0.744,-0.271, 54.00,81.00, -27.00,148.00,64.00,-170.00,16, 2.258,12.00,104.00,-2.435,25.00,  8.00, 0.181,62.00,217.00
  7436588,de  ,NEIC     ,2004-11-15,09:06:56.56,  4.6950, -77.5080, 15.0,        ,NEIC     ,  ,     , 7.2,  ,      ,      ,      ,      ,      ,      , 22.00,11.00, 116.00,175.00,80.00,  85.00,  ,      ,55.00, 79.00,      ,35.00,269.00,      , 0.00,  0.00
  7436588,de  ,NEIC     ,2004-11-15,09:06:56.56,  4.6950, -77.5080, 15.0,        ,NEIC     ,19,6.600, 7.2,19, 2.210, 0.910,-3.130, 1.600,-2.470,-5.270, 60.00,30.00, 157.00,170.00,79.00,  62.00,19, 6.690,49.00, 50.00,-6.600,29.00,282.00,-0.090,27.00,176.00
  7436588,de  ,NEIC     ,2004-11-15,09:06:56.56,  4.6950, -77.5080, 15.0,        ,PPT      ,19,4.600, 7.2,  ,      ,      ,      ,      ,      ,      , 60.00,30.00, 157.00,170.00,79.00,  62.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  7436588,de  ,MOS      ,2004-11-15,09:06:58.30,  4.7960, -77.6200, 33.0,        ,MOS      ,  ,     , 7.2,  ,      ,      ,      ,      ,      ,      , 44.00,24.00, 127.00,185.00,71.00,  75.00,  ,      ,61.00, 73.00,      ,25.00,286.00,      ,14.00,189.00
  7436588,de  ,GCMT     ,2004-11-15,09:07:01.50,  4.7200, -77.5700, 16.0,TRUE    ,GCMT     ,19,7.575, 7.2,19, 2.800,-0.126,-2.670, 0.531,-0.457,-7.030, 21.00,11.00, 114.00,177.00,79.00,  85.00,19, 7.670,55.00, 81.00,-7.479,34.00,271.00,-0.187, 5.00,178.00
  7479012,fe  ,GCMT     ,2005-03-08,15:59:49.00,  4.5000, -75.9200, 60.0,TRUE    ,GCMT     ,16,3.561, 5.0,16, 0.307,-0.933, 0.620,-0.563, 3.160,-1.320,171.00,79.00, 159.00,265.00,70.00,  12.00,16, 3.675,22.00,127.00,-3.448, 6.00,219.00,-0.227,67.00,324.00
  7493803,fe  ,GCMT     ,2005-04-21,03:39:26.00,  5.1800, -76.3200,116.2,TRUE    ,GCMT     ,17,0.891, 5.2,17,-0.019,-0.712, 0.730, 0.279, 0.155,-0.416,141.00,90.00, 146.00,232.00,56.00,   1.00,17, 0.917,24.00, 91.00,-0.865,23.00,192.00,-0.051,56.00,321.00
  9116708,ke  ,CASC     ,2005-06-21,20:38:09.10,  9.7010, -76.8940, 35.8,        ,CASC     ,  ,     , 4.0,  ,      ,      ,      ,      ,      ,      ,128.78,48.44, -30.79,      ,     ,       ,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  7364138,fe  ,GCMT     ,2005-07-15,21:02:17.70,  8.5300, -71.4100, 12.8,TRUE    ,GCMT     ,16,2.018, 4.8,16,-1.680, 1.810,-0.120,-0.390, 0.270, 0.925,106.00,55.00, -58.00,239.00,46.00,-127.00,16, 1.869, 5.00,175.00,-2.166,64.00, 75.00, 0.299,26.00,267.00
  8577814,ke  ,FUNV     ,2005-07-28,11:31:45.90, 10.6600, -71.4720,  0.0,        ,FUNV     ,  ,     , 2.8,  ,      ,      ,      ,      ,      ,      ,276.00,52.80, -64.60,      ,     ,       ,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  8037834,fe  ,NEIC     ,2006-01-23,20:50:44.98,  6.8640, -77.7930, 14.0,        ,NEIC     ,  ,     , 6.2,  ,      ,      ,      ,      ,      ,      ,175.00,79.00,  90.00,355.00,11.00,  90.00,  ,      ,56.00, 85.00,      ,34.00,265.00,      , 0.00,  0.00
  8037834,fe  ,NEIC     ,2006-01-23,20:50:44.98,  6.8640, -77.7930, 14.0,        ,NEIC     ,18,2.600, 6.2,18, 0.450, 0.010,-0.460, 0.500, 0.180,-2.530,169.00,85.00,  92.00,330.00, 6.00,  72.00,18, 2.590,50.00, 81.00,-2.660,40.00,257.00, 0.070, 2.00,349.00
  8037834,fe  ,NEIC     ,2006-01-23,20:50:44.98,  6.8640, -77.7930, 14.0,        ,PPT      ,18,2.500, 6.2,  ,      ,      ,      ,      ,      ,      ,169.00,85.00,  92.00,330.00, 6.00,  72.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
  8037834,fe  ,GCMT     ,2006-01-23,20:50:50.00,  6.9700, -77.7700, 15.0,TRUE    ,GCMT     ,18,2.728, 6.2,18, 0.975,-0.044,-0.930, 0.196, 0.496,-2.500,174.00,79.00,  98.00,316.00,14.00,  53.00,18, 2.703,55.00, 94.00,-2.753,34.00,257.00, 0.050, 8.00,352.00
  8079176,ke  ,GCMT     ,2006-01-24,02:15:48.10,  6.9600, -77.7300, 23.7,TRUE    ,GCMT     ,17,1.339, 5.3,17, 0.831,-0.067,-0.760, 0.042, 0.592,-0.903,170.00,68.00, 110.00,307.00,29.00,  50.00,17, 1.273,62.00,111.00,-1.406,21.00,246.00, 0.133,18.00,343.00
  8079542,ke  ,GCMT     ,2006-01-29,17:49:20.40,  6.8800, -77.8200, 27.0,TRUE    ,GCMT     ,16,8.145, 5.2,16, 4.750,-0.649,-4.100, 0.945, 2.760,-6.170,167.00,71.00, 103.00,313.00,23.00,  58.00,16, 7.940,62.00, 96.00,-8.351,25.00,247.00, 0.413,12.00,343.00
 11122835,fe  ,GCMT     ,2006-11-17,18:28:52.10,  7.3900, -79.4700, 19.2,TRUE    ,GCMT     ,17,1.787, 5.4,17,-0.383,-0.426, 0.800, 0.258, 1.560,-0.491,258.00,70.00, -10.00,351.00,80.00,-160.00,17, 1.900, 7.00,123.00,-1.675,21.00,216.00,-0.226,68.00, 16.00
 11691567,de  ,GCMT     ,2007-03-06,13:05:13.40,  2.2100, -76.5700, 12.0,TRUE    ,GCMT     ,16,7.454, 5.2,16, 0.955, 2.460,-3.410,-0.881, 4.720, 5.320, 11.00,89.00, 137.00,102.00,47.00,   1.00,16, 6.152,30.00,317.00,-8.755,28.00, 65.00, 2.609,47.00,190.00
 11698818,fe  ,NEIC     ,2007-03-17,22:43:09.62,  4.5510, -78.5360, 10.0,        ,NEIC     ,  ,     , 5.9,  ,      ,      ,      ,      ,      ,      , 68.00,54.00, -53.00,195.00,50.00,-130.00,  ,      , 2.00,132.00,      ,60.00, 38.00,      , 0.00,  0.00
 11698818,fe  ,NEIC     ,2007-03-17,22:43:09.62,  4.5510, -78.5360, 10.0,        ,NEIC     ,17,9.200, 5.9,17,-6.810, 1.050, 5.760,-3.810, 5.260, 1.470, 60.00,55.00, -52.00,186.00,49.00,-131.00,17, 9.220, 3.00,124.00,-9.190,60.00, 28.00,-0.020,30.00,216.00
 11698818,fe  ,GCMT     ,2007-03-17,22:43:15.70,  4.6100, -78.5300, 13.1,TRUE    ,GCMT     ,18,1.278, 6.0,18,-1.120, 0.448, 0.670, 0.029, 0.651, 0.506, 55.00,37.00, -67.00,206.00,56.00,-107.00,18, 1.290,10.00,308.00,-1.266,73.00, 72.00,-0.026,14.00,216.00
 11698910,fe  ,NEIC     ,2007-03-18,02:11:05.30,  4.5850, -78.4940,  7.0,        ,NEIC     ,  ,     , 6.1,  ,      ,      ,      ,      ,      ,      , 68.00,54.00, -53.00,195.00,50.00,-130.00,  ,      , 2.00,132.00,      ,60.00, 38.00,      , 0.00,  0.00
 11698910,fe  ,NEIC     ,2007-03-18,02:11:05.30,  4.5850, -78.4940,  7.0,        ,NEIC     ,18,2.100, 6.1,18,-1.480, 0.830, 0.650,-0.920, 1.280, 0.470, 75.00,59.00, -53.00,199.00,47.00,-135.00,18, 2.060, 6.00,139.00,-2.110,58.00, 39.00, 0.050,31.00,233.00
 11698910,fe  ,GCMT     ,2007-03-18,02:11:11.50,  4.6900, -78.5300, 12.0,TRUE    ,GCMT     ,18,2.723, 6.2,18,-2.460, 0.446, 2.020,-0.147, 1.010, 1.100, 38.00,36.00, -69.00,193.00,57.00,-104.00,18, 2.684,10.00,294.00,-2.761,74.00, 64.00, 0.083,12.00,201.00
 11933145,fe  ,GCMT     ,2007-04-24,08:53:39.70,  5.7900, -75.7800, 42.7,TRUE    ,GCMT     ,16,6.252, 5.1,16,-3.020,-1.250, 4.260,-1.760,-0.049,-4.690, 18.00,73.00, -75.00,154.00,23.00,-132.00,16, 6.626,27.00, 96.00,-5.877,59.00,310.00,-0.760,15.00,194.00
 12649045,fe  ,NEIC     ,2007-05-06,04:47:13.68,  6.7050, -72.9460,159.7,        ,NEIC     ,17,1.400, 5.4,17, 0.510, 0.810,-1.320, 0.600, 0.390,-0.320, 30.00,55.00, 161.00,132.00,74.00,  37.00,17, 1.290,37.00,357.00,-1.480,13.00,257.00, 0.190,50.00,151.00
 12649045,fe  ,RSNC     ,2007-05-06,04:47:14.50,  6.8190, -73.0530,151.4,        ,RSNC     ,  ,     , 5.4,  ,      ,      ,      ,      ,      ,      ,156.80,28.00,  43.20,      ,     ,       ,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
 12649045,fe  ,GCMT     ,2007-05-06,04:47:16.90,  6.8400, -73.1300,156.6,TRUE    ,GCMT     ,17,1.414, 5.4,17, 0.167, 0.949,-1.120, 0.766, 0.241,-0.512, 36.00,49.00, 173.00,131.00,85.00,  41.00,17, 1.420,32.00,  2.00,-1.408,23.00,256.00,-0.016,49.00,137.00
 12684433,fe  ,GCMT     ,2007-06-20,19:04:11.50,  7.1800, -72.1400, 26.9,TRUE    ,GCMT     ,16,7.734, 5.2,16, 3.200, 2.020,-5.220,-2.680,-3.340, 4.550,237.00,42.00, 155.00,346.00,74.00,  51.00,16, 7.798,46.00,215.00,-7.670,19.00,104.00,-0.129,37.00,358.00
 13198691,fe  ,NEIC     ,2007-07-16,22:58:23.39,  7.1820, -72.1260, 29.5,        ,NEIC     ,16,6.000, 5.1,16, 5.970,-3.490,-2.480, 0.160,-2.560, 1.700, 40.00,52.00,  77.00,240.00,40.00, 106.00,16, 6.310,78.00,260.00,-5.720, 6.00,139.00,-0.600,10.00, 48.00
 13198691,fe  ,GCMT     ,2007-07-16,22:58:26.40,  7.1300, -72.1000, 30.6,TRUE    ,GCMT     ,17,0.834, 5.2,17, 0.647,-0.194,-0.450, 0.157,-0.391, 0.436, 26.00,62.00,  80.00,227.00,29.00, 108.00,17, 0.799,71.00,274.00,-0.868,17.00,124.00, 0.069, 9.00, 31.00
 13203930,se  ,GCMT     ,2007-09-22,11:44:43.20,  6.0600, -77.5300, 20.3,TRUE    ,GCMT     ,16,3.975, 5.0,16, 2.550,-0.006,-2.540,-0.439,-0.363,-3.000,  8.00,20.00,  90.00,188.00,70.00,  90.00,16, 3.954,65.00, 99.00,-3.995,25.00,278.00, 0.045, 0.00,  8.00
 13213853,ke  ,GCMT     ,2008-02-10,07:36:06.30,  5.7600, -77.9500, 23.7,TRUE    ,GCMT     ,16,4.202, 5.0,16,-1.540, 2.320,-0.780, 0.045, 3.720, 0.945,100.00,72.00, -12.00,194.00,79.00,-161.00,16, 4.849, 5.00,326.00,-3.555,21.00, 58.00,-1.297,68.00,223.00
 13214290,fe  ,GCMT     ,2008-02-17,21:15:06.40,  6.8200, -73.0400,156.9,TRUE    ,GCMT     ,17,1.410, 5.4,17, 0.348, 0.338,-0.680, 0.982, 0.811,-0.127, 10.00,45.00, 165.00,111.00,80.00,  46.00,17, 1.446,39.00,342.00,-1.373,22.00,232.00,-0.073,43.00,120.00
 13229681,de  ,GCMT     ,2008-05-24,19:20:48.70,  4.3200, -73.7900, 14.7,TRUE    ,GCMT     ,17,7.954, 5.9,17, 0.695, 3.860,-4.560,-1.050, 6.640, 0.665,106.00,89.00,  -8.00,196.00,82.00,-179.00,17, 7.565, 5.00,152.00,-8.344, 7.00, 61.00, 0.774,81.00,277.00
 13821288,fe  ,GCMT     ,2009-09-08,08:26:02.30,  4.7700, -76.7100, 82.7,TRUE    ,GCMT     ,16,2.082, 4.8,16, 1.900,-1.940, 0.030,-0.045,-0.502, 0.628, 60.00,49.00,  66.00,273.00,46.00, 115.00,16, 2.101,72.00,261.00,-2.063, 2.00,166.00,-0.044,18.00, 76.00
 14264744,fe  ,GCMT     ,2010-01-29,17:52:26.60,  4.8300, -76.0700,128.0,TRUE    ,GCMT     ,16,3.301, 5.0,16,-2.710,-0.978, 3.690, 0.355, 0.252,-0.612,195.00,41.00, -72.00,352.00,51.00,-105.00,16, 3.758, 5.00, 93.00,-2.845,77.00,206.00,-0.912,12.00,  2.00
 14742262,fe  ,GCMT     ,2010-06-05,01:20:02.50,  5.0600, -72.3800, 18.1,TRUE    ,GCMT     ,16,2.237, 4.8,16, 2.170,-0.984,-1.190, 0.084,-1.160, 0.332, 38.00,49.00,  84.00,227.00,41.00,  97.00,16, 2.203,84.00,264.00,-2.272, 4.00,132.00, 0.065, 4.00, 42.00
 15048996,fe  ,GCMT     ,2010-07-29,19:34:49.80,  3.9800, -75.0900, 33.1,TRUE    ,GCMT     ,16,4.843, 5.1,16, 3.120, 1.970,-5.090, 1.810,-0.719,-0.478, 37.00,54.00, 138.00,155.00,57.00,  45.00,16, 4.513,53.00,  8.00,-5.174, 2.00,275.00, 0.661,37.00,184.00
 16176414,fe  ,NEIC     ,2011-03-02,18:50:49.00,  8.5600, -76.9100, 39.0,TRUE    ,NEIC     ,17,5.000,    ,17, 1.800, 0.100,-1.900,-2.300, 1.100, 3.300,172.00,15.00, 116.00,325.00,76.00,  83.00,17, 4.300,58.00,226.00,-4.800,31.00, 61.00, 0.500, 6.00,327.00
 16176414,fe  ,GCMT     ,2011-03-02,18:50:52.20,  8.6400, -76.8200, 40.3,TRUE    ,GCMT     ,17,5.630, 5.8,17, 3.320, 1.450,-4.770,-2.190, 2.450, 2.240,191.00,36.00, 137.00,318.00,66.00,  62.00,17, 4.803,59.00,188.00,-6.458,16.00, 68.00, 1.655,25.00,330.00
 16554499,fe  ,NIED     ,2011-06-02,14:37:00   , 37.5000, 142.7000, 17.0,        ,NIED     ,16,1.410, 4.7,  ,      ,      ,      ,      ,      ,      , 63.00,28.00, -77.00,229.00,63.00, -97.00,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
 16956080,se  ,GCMT     ,2011-08-17,08:02:07.10,  5.6600, -77.7500, 21.0,TRUE    ,GCMT     ,16,3.567, 5.0,16, 2.920,-0.560,-2.360, 0.642, 0.581,-2.210,164.00,65.00,  90.00,343.00,25.00,  90.00,16, 3.762,70.00, 74.00,-3.373,20.00,254.00,-0.389, 0.00,344.00
 17223294,se  ,GCMT     ,2011-09-13,04:38:52.40,  5.7700, -77.7500, 12.0,TRUE    ,GCMT     ,16,8.366, 5.2,16, 4.090,-0.344,-3.750,-0.205,-0.495,-7.370, 13.00,14.00, 100.00,182.00,76.00,  88.00,16, 8.518,59.00, 89.00,-8.213,31.00,274.00,-0.309, 2.00,183.00
 17223295,fe  ,NEIC     ,2011-09-13,04:49:35.00,  5.6170, -77.4710, 10.0,        ,NEIC     ,17,3.900, 5.7,17, 1.640, 0.600,-2.240,-0.720, 1.240,-2.990,188.00,76.00, 115.00,307.00,28.00,  32.00,17, 3.750,53.00,128.00,-3.990,26.00,259.00, 0.240,24.00,  2.00
 17223295,fe  ,GCMT     ,2011-09-13,04:49:40.00,  5.7300, -77.6600, 12.8,TRUE    ,GCMT     ,17,2.479, 5.5,17, 1.500,-0.079,-1.430,-0.034,-0.008,-2.000,181.00,72.00,  90.00,360.00,18.00,  89.00,17, 2.514,63.00, 91.00,-2.444,27.00,271.00,-0.079, 0.00,  1.00
600714261,fe  ,GCMT     ,2012-02-24,13:43:19.00,  6.8400, -73.0200,160.5,TRUE    ,GCMT     ,16,5.395, 5.1,16, 4.660,-3.680,-0.970, 2.230,-1.530,-2.440, 93.00,58.00, 119.00,226.00,42.00,  52.00,16, 6.265,64.00, 54.00,-4.525, 8.00,162.00,-1.739,24.00,256.00
601668339,fe  ,GCMT     ,2012-09-01,05:09:49.00,  6.8600, -73.1200,164.4,TRUE    ,GCMT     ,16,5.459, 5.1,16, 2.600, 1.660,-4.250, 2.530,-1.650,-2.650, 48.00,43.00, 151.00,159.00,71.00,  50.00,16, 5.670,48.00, 27.00,-5.249,16.00,277.00,-0.412,37.00,175.00
604715034,ke  ,RSNC     ,2012-10-23,22:53:23.10,  5.9440, -75.1230, 13.0,        ,RSNC     ,  ,     , 3.3,  ,      ,      ,      ,      ,      ,      ,122.02,43.96,  22.18,      ,     ,       ,  ,      ,     ,      ,      ,     ,      ,      ,     ,      
